SCALE_FACTOR,SUBSAMPLING_MODE,VIDEO_MODE,CPU,OMP,CUDA
0.5,0,0,2.000375,2.022204,2.479753
0.5,0,1,2.043028,2.043307,2.490863
0.5,1,0,4.820958,4.820202,5.858884
0.5,1,1,4.805913,4.813863,5.823368
0.6,0,0,2.927996,2.949015,3.675191
0.6,0,1,2.946907,2.937813,3.676078
0.6,1,0,6.573203,6.573045,8.23021
0.6,1,1,6.568962,6.553007,8.284677
0.7,0,0,3.997214,3.990928,4.968074
0.7,0,1,3.898042,3.942827,5.030581
0.7,1,0,8.591921,8.519815,10.947971
0.7,1,1,8.536985,8.455284,10.955566
0.8,0,0,4.992492,5.000671,6.236495
0.8,0,1,5.025218,5.037043,6.333033
0.8,1,0,10.567672,10.505046,14.048159
0.8,1,1,10.576181,10.518248,14.030706
0.9,0,0,6.334118,6.302621,8.201964
0.9,0,1,6.338567,6.291076,8.203966
0.9,1,0,12.742351,12.533757,17.330441
0.9,1,1,12.761543,12.541315,17.378901
1.0,0,0,7.568035,7.534163,10.092618
1.0,0,1,7.584753,7.537122,10.07194
1.0,1,0,14.901845,14.759761,21.547924
1.0,1,1,14.924042,14.73566,21.525311
1.1,0,0,9.106539,8.802344,12.087924
1.1,0,1,9.10928,8.761965,12.046453
1.1,1,0,16.956879,16.625484,25.28027
1.1,1,1,17.036966,16.655682,25.245413
1.2,0,0,10.371653,10.226508,16.609585
1.2,0,1,11.352498,10.207311,15.353724
1.2,1,0,18.991812,18.513651,31.100203
1.2,1,1,18.992573,18.563023,30.899309
1.3,0,0,11.792048,11.579597,17.438337
1.3,0,1,11.785347,11.688293,17.541716
1.3,1,0,20.932106,20.414736,35.945728
1.3,1,1,20.886469,20.427011,35.887115
1.4,0,0,13.274858,13.673436,20.458977
1.4,0,1,13.228394,13.043498,20.500212
1.4,1,0,22.944643,22.469597,41.515617
1.4,1,1,22.919882,22.413523,41.473633
1.5,0,0,14.739264,14.445981,23.057074
1.5,0,1,14.697491,14.440171,22.899904
1.5,1,0,24.731873,24.098368,46.682808
1.5,1,1,24.731344,24.013092,46.471748
1.6,0,0,16.192484,15.921021,26.01066
1.6,0,1,16.271584,16.030291,26.247507
1.6,1,0,26.322159,25.657564,52.39024
1.6,1,1,26.205593,25.769941,52.364738
1.7,0,0,17.75259,17.419474,37.341824
1.7,0,1,17.825205,17.383064,37.081284
1.7,1,0,28.150204,27.452253,59.130028
1.7,1,1,28.243954,27.375189,59.069317
1.8,0,0,19.049854,21.603331,32.876354
1.8,0,1,19.073883,19.107473,32.895458
1.8,1,0,29.444931,28.721453,65.604309
1.8,1,1,29.551031,28.685703,65.345726
1.9,0,0,20.661179,20.230185,37.230331
1.9,0,1,20.629801,20.159424,37.196728
1.9,1,0,30.852272,30.013588,72.845039
1.9,1,1,30.686573,29.641817,72.839493
2.0,0,0,21.752451,23.386566,40.517265
2.0,0,1,21.831303,23.803482,40.465847
2.0,1,0,32.444695,31.456444,79.106949
2.0,1,1,32.45097,31.521696,78.872955
2.1,0,0,23.238796,22.808819,44.927357
2.1,0,1,23.351406,26.273006,44.832481
2.1,1,0,33.790192,35.978767,88.114006
2.1,1,1,33.810814,32.803349,87.918884
2.2,0,0,24.458256,23.905983,49.037189
2.2,0,1,24.466026,23.832003,48.92054
2.2,1,0,34.616959,33.5438,93.2444
2.2,1,1,34.690571,38.585304,93.547279
2.3,0,0,25.576303,28.420565,52.765034
2.3,0,1,25.628735,28.833479,52.794613
2.3,1,0,35.787994,34.576836,100.960052
2.3,1,1,35.676048,34.639816,100.465172
2.4,0,0,26.999094,26.310404,57.607368
2.4,0,1,26.96249,26.334139,57.371418
2.4,1,0,36.888653,36.377979,109.519753
2.4,1,1,37.227306,35.864826,109.401657
2.5,0,0,28.180098,27.638479,62.44212
2.5,0,1,28.320736,27.670488,62.426926
2.5,1,0,37.367226,36.955288,118.983192
2.5,1,1,36.320759,36.506165,119.086021
2.6,0,0,29.057083,28.612143,68.554649
2.6,0,1,29.074697,28.399807,67.941933
2.6,1,0,38.340256,36.992355,127.670937
2.6,1,1,38.33551,37.175884,127.87294
2.7,0,0,30.335476,34.221188,74.140373
2.7,0,1,30.312632,29.472946,74.062256
2.7,1,0,39.416843,38.341564,137.87442
2.7,1,1,39.136486,38.235405,138.322189
2.8,0,0,31.35906,30.370621,79.07135
2.8,0,1,31.166189,35.079479,78.920273
2.8,1,0,40.179939,39.163074,148.860703
2.8,1,1,40.184994,38.979424,147.386261
2.9,0,0,32.140259,31.256521,134.189667
2.9,0,1,32.342056,36.108494,134.572357
2.9,1,0,40.935493,39.5868,158.095673
2.9,1,1,41.045891,39.624714,158.867905
3.0,0,0,32.78735,31.838406,89.631332
3.0,0,1,32.779087,34.764484,90.014221
3.0,1,0,41.625069,46.001881,170.316727
3.0,1,1,41.156513,40.128162,169.816803
